	D1	D2	D3	D5	D4	
first	0.536	0.0	0.0	0.0	0.0
five	0.536	0.0	0.0	0.0	0.0
document	0.17	0.064	0.057	0.0	0.0
will	0.0	0.115	0.0	0.102	0.0
singl	0.0	0.201	0.0	0.0	0.0
line	0.0	0.115	0.0	0.0	0.102
titl	0.0	0.201	0.0	0.0	0.0
separ	0.0	0.201	0.0	0.0	0.0
tab	0.0	0.115	0.102	0.0	0.0
charact	0.0	0.201	0.0	0.0	0.0
well	0.0	0.0	0.179	0.0	0.0
just	0.0	0.0	0.179	0.0	0.0
space	0.0	0.0	0.179	0.0	0.0
confus	0.0	0.0	0.179	0.0	0.0
rest	0.0	0.0	0.179	0.0	0.0
whitespac	0.0	0.0	0.179	0.0	0.0
easier	0.0	0.0	0.179	0.0	0.0
need	0.0	0.0	0.0	0.0	0.179
look	0.0	0.0	0.0	0.0	0.179
carriag	0.0	0.0	0.0	0.102	0.102
return	0.0	0.0	0.0	0.102	0.102
though	0.0	0.0	0.0	0.0	0.179
languag	0.0	0.0	0.0	0.102	0.102
allow	0.0	0.0	0.0	0.0	0.179
entiti	0.0	0.0	0.0	0.0	0.179
insist	0.0	0.0	0.0	0.179	0.0
block	0.0	0.0	0.0	0.179	0.0
text	0.0	0.0	0.0	0.179	0.0
delin	0.0	0.0	0.0	0.179	0.0
statement	0.0	0.0	0.0	0.179	0.0
